sales_region_code,item_code,first_cate_code,second_cate_code,order_date,ord_qty
101,20002,303,406,2017-08-06,4
101,20002,303,406,2018-03-18,5
101,20002,303,406,2018-03-25,3
101,20002,303,406,2018-04-01,9
101,20002,303,406,2018-04-08,7
101,20002,303,406,2018-04-15,28
101,20002,303,406,2018-04-22,46
101,20002,303,406,2018-04-29,43
101,20002,303,406,2018-05-06,14
101,20002,303,406,2018-05-13,14
101,20002,303,406,2018-05-20,24
101,20002,303,406,2018-05-27,51
101,20002,303,406,2018-06-03,11
101,20002,303,406,2018-06-10,14
101,20002,303,406,2018-06-17,10
101,20002,303,406,2018-06-24,23
101,20002,303,406,2018-07-01,26
101,20002,303,406,2018-07-08,40
101,20002,303,406,2018-07-15,19
101,20002,303,406,2018-07-22,15
101,20002,303,406,2018-08-05,8
101,20002,303,406,2018-08-12,6
101,20002,303,406,2018-08-19,9
101,20002,303,406,2018-09-02,8
101,20002,303,406,2018-09-16,31
101,20002,303,406,2018-09-30,14
101,20002,303,406,2018-10-07,13
101,20002,303,406,2018-10-14,6
101,20002,303,406,2018-11-04,3
101,20002,303,406,2018-11-11,24
101,20002,303,406,2018-12-02,9
101,20002,303,406,2018-12-16,42
101,20002,303,406,2018-12-23,14
101,20003,301,405,2017-01-01,328
101,20003,301,405,2017-01-08,115
101,20003,301,405,2017-01-15,67
101,20003,301,405,2017-02-26,129
101,20003,301,405,2017-03-26,15
101,20003,301,405,2017-04-02,169
101,20003,301,405,2017-04-09,10
101,20003,301,405,2017-04-16,18
101,20003,301,405,2017-05-14,83
101,20003,301,405,2017-05-21,23
101,20003,301,405,2017-05-28,107
101,20003,301,405,2017-06-04,406
101,20003,301,405,2017-06-25,50
101,20003,301,405,2017-07-16,114
101,20003,301,405,2017-07-23,14
101,20003,301,405,2017-08-06,43
101,20003,301,405,2017-08-20,230
101,20003,301,405,2017-08-27,130
101,20003,301,405,2017-09-03,3
101,20003,301,405,2017-09-17,201
101,20003,301,405,2017-09-24,105
101,20003,301,405,2017-10-08,52
101,20003,301,405,2017-10-22,392
101,20003,301,405,2017-11-05,416
101,20003,301,405,2017-11-19,237
101,20003,301,405,2017-12-03,250
101,20003,301,405,2017-12-10,149
101,20003,301,405,2017-12-17,230
101,20003,301,405,2018-01-14,175
101,20003,301,405,2018-01-21,70
101,20003,301,405,2018-01-28,17
101,20003,301,405,2018-02-04,539
101,20003,301,405,2018-03-04,10
101,20003,301,405,2018-03-18,557
101,20003,301,405,2018-03-25,1069
101,20003,301,405,2018-04-01,112
101,20003,301,405,2018-04-15,78
101,20003,301,405,2018-04-22,300
101,20003,301,405,2018-04-29,12
101,20003,301,405,2018-05-06,118
101,20003,301,405,2018-05-13,417
101,20003,301,405,2018-05-20,533
101,20003,301,405,2018-05-27,417
101,20003,301,405,2018-06-03,409
101,20003,301,405,2018-06-17,335
101,20003,301,405,2018-06-24,10
101,20003,301,405,2018-07-01,14
101,20003,301,405,2018-07-15,53
101,20003,301,405,2018-07-29,82
101,20003,301,405,2018-08-19,59
101,20003,301,405,2018-08-26,7
101,20003,301,405,2018-09-02,98
101,20003,301,405,2018-09-16,76
101,20003,301,405,2018-09-30,17
101,20003,301,405,2018-10-14,207
101,20003,301,405,2018-10-21,301
101,20003,301,405,2018-10-28,153
101,20003,301,405,2018-12-23,85
101,20006,307,403,2017-01-22,44
101,20006,307,403,2017-03-05,14
101,20006,307,403,2017-03-26,14
101,20006,307,403,2017-04-16,26
101,20006,307,403,2017-04-23,58
101,20006,307,403,2017-04-30,20
101,20006,307,403,2017-05-21,10
101,20006,307,403,2017-05-28,122
101,20006,307,403,2017-06-11,16
101,20006,307,403,2017-06-25,26
101,20006,307,403,2017-07-09,28
101,20006,307,403,2017-07-23,18
101,20006,307,403,2017-08-06,10
101,20006,307,403,2017-08-13,54
101,20006,307,403,2017-08-20,74
101,20006,307,403,2017-09-17,54
101,20006,307,403,2017-09-24,36
101,20006,307,403,2017-10-22,44
101,20006,307,403,2017-10-29,171
101,20006,307,403,2017-11-05,153
101,20006,307,403,2017-11-26,143
101,20006,307,403,2017-12-17,79
101,20006,307,403,2017-12-24,24
101,20006,307,403,2018-01-21,347
101,20006,307,403,2018-01-28,130
101,20006,307,403,2018-02-04,79
101,20006,307,403,2018-03-04,50
101,20006,307,403,2018-03-18,27
101,20006,307,403,2018-03-25,142
101,20006,307,403,2018-04-01,443
101,20006,307,403,2018-04-08,7
101,20006,307,403,2018-04-15,67
101,20006,307,403,2018-05-06,49
101,20006,307,403,2018-05-13,11
101,20006,307,403,2018-05-20,160
101,20006,307,403,2018-05-27,262
101,20006,307,403,2018-06-10,9
101,20006,307,403,2018-06-24,10
101,20006,307,403,2018-07-15,43
101,20006,307,403,2018-07-22,155
101,20006,307,403,2018-07-29,158
101,20006,307,403,2018-08-12,55
101,20006,307,403,2018-08-19,95
101,20006,307,403,2018-09-09,65
101,20006,307,403,2018-09-30,44
101,20006,307,403,2018-10-14,112
101,20006,307,403,2018-11-04,25
101,20006,307,403,2018-12-16,119
101,20014,307,403,2017-03-19,338
101,20014,307,403,2017-03-26,49
101,20014,307,403,2017-04-02,41
101,20014,307,403,2017-04-09,105
101,20014,307,403,2017-04-16,1156
101,20014,307,403,2017-04-23,567
101,20014,307,403,2017-04-30,2466
101,20014,307,403,2017-05-07,862
101,20014,307,403,2017-05-14,907
101,20014,307,403,2017-05-21,1551
101,20014,307,403,2017-05-28,1257
101,20014,307,403,2017-06-04,5
101,20014,307,403,2017-06-11,363
101,20014,307,403,2017-06-18,2146
